,业绩比较基准,基准对应的基金数目
1223,沪深300指数收益率*50%+中证全债指数收益率*50%,112
1178,沪深300指数收益率*50%+上证国债指数收益率*50%,102
1228,沪深300指数收益率*50%+中证综合债指数收益率*50%,91
1299,沪深300指数收益率*60%+中债综合指数收益率*40%,86
1207,沪深300指数收益率*50%+中债综合指数收益率*50%,84
715,中证全债指数收益率*70%+沪深300指数收益率*30%,68
1274,沪深300指数收益率*60%+上证国债指数收益率*40%,67
1412,沪深300指数收益率*70%+中证全债指数收益率*30%,52
1450,沪深300指数收益率*80%+上证国债指数收益率*20%,49
261,中债综合指数收益率*80%+沪深300指数收益率*20%,47
1312,沪深300指数收益率*60%+中证全债指数收益率*40%,44
1241,沪深300指数收益率*55%+上证国债指数收益率*45%,42
1305,沪深300指数收益率*60%+中国债券总指数收益率*40%,37
51,一年期银行定期存款利率(税后)+3%,36
946,中证综合债指数收益率*70%+沪深300指数收益率*30%,33
1464,沪深300指数收益率*80%+中债综合指数收益率*20%,32
1197,沪深300指数收益率*50%+中债综合全价指数收益率*50%,31
730,中证全债指数收益率*80%+沪深300指数收益率*20%,30
1469,沪深300指数收益率*80%+中证全债指数收益率*20%,29
1444,沪深300指数收益率*75%+中证全债指数收益率*25%,28
1426,沪深300指数收益率*75%+上证国债指数收益率*25%,28
1390,沪深300指数收益率*70%+上证国债指数收益率*30%,27
1124,沪深300指数*80%+上证国债指数*20%,26
1417,沪深300指数收益率*70%+中证综合债指数收益率*30%,23
245,中债综合指数收益率*70%+沪深300指数收益率*30%,21
202,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,20
1120,沪深300指数*75%+中证全债指数*25%,19
98,上证国债指数收益率*80%+沪深300指数收益率*20%,19
227,中债综合全价指数收益率*80%+沪深300指数收益率*20%,18
1467,沪深300指数收益率*80%+中国债券总指数收益率*20%,18
38,一年期人民币定期存款利率(税后)+2%,18
1402,沪深300指数收益率*70%+中债综合指数收益率*30%,18
1181,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,17
1398,沪深300指数收益率*70%+中债综合全价(总值)指数收益率*30%,16
1281,沪深300指数收益率*60%+中债总全价指数收益率*40%,16
1129,沪深300指数*80%+中证全债指数*20%,15
1192,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,14
1227,沪深300指数收益率*50%+中证综合债券指数收益率*50%,14
1102,沪深300指数*60%+中证全债指数*40%,14
1353,沪深300指数收益率*65%+上证国债指数收益率*35%,14
1439,沪深300指数收益率*75%+中债综合指数收益率*25%,13
1099,沪深300指数*60%+上证国债指数*40%,13
1522,金融机构人民币三年期定期存款基准利率(税后),13
181,中债新综合指数(财富)收益率*90%+沪深300指数收益率*10%,13
1322,沪深300指数收益率*60%+中证综合债券指数收益率*40%,13
1088,沪深300指数*50%+上证国债指数*50%,13
1289,沪深300指数收益率*60%+中债综合全价(总值)指数收益率*40%,12
1247,沪深300指数收益率*55%+中债总财富指数收益率*45%,12
177,中债新综合指数(财富)收益率*75%+沪深300指数收益率*25%,12
1473,沪深300指数收益率*80%+中证综合债券指数收益率*20%,12
1193,沪深300指数收益率*50%+中债综合全价指数收益率*30%+恒生综合指数收益率*20%,12
1176,沪深300指数收益率*50%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,12
1326,沪深300指数收益率*60%+中证综合债指数收益率*40%,12
734,中证全债指数收益率*85%+沪深300指数收益率*15%,12
293,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,12
1474,沪深300指数收益率*80%+中证综合债指数收益率*20%,12
1369,沪深300指数收益率*65%+中债综合指数收益率*35%,11
1284,沪深300指数收益率*60%+中债总指数收益率*40%,11
1219,沪深300指数收益率*50%+中国债券总指数收益率*50%,11
92,上证国债指数收益率*70%+沪深300指数收益率*30%,11
1246,沪深300指数收益率*55%+中债总指数收益率*45%,11
1406,沪深300指数收益率*70%+中国债券总指数收益率*30%,11
100,上证国债指数收益率*85%+沪深300指数收益率*15%,11
270,中债综合指数收益率*90%+沪深300指数收益率*10%,11
267,中债综合指数收益率*85%+沪深300指数收益率*15%,11
89,上证国债指数收益率*50%+沪深300指数收益率*50%,10
1345,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,10
1480,沪深300指数收益率*90%+银行活期存款利率(税后)*10%,10
42,一年期人民币定期存款基准利率(税后)+1.00%,10
974,人民币三年期定期存款利率(税后)+2%,10
561,中证800指数收益率*65%+上证国债指数收益率*35%,10
249,中债综合指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率*10%,10
1090,沪深300指数*50%+中证全债指数*50%,10
498,中证800指数收益率*50%+中国债券总指数收益率*50%,10
1436,沪深300指数收益率*75%+中债综合全价(总值)指数收益率*25%,10
569,中证800指数收益率*65%+中证全债指数收益率*35%,10
939,中证综合债指数收益率*50%+沪深300指数收益率*50%,10
164,中债总财富指数收益率*80%+沪深300指数收益率*20%,10
488,中证800指数收益率*50%+中债综合全价指数收益率*50%,10
189,中债新综合财富(总值)指数收益率*75%+沪深300指数收益率*20%+金融机构人民币活期存款利率(税后)*5%,10
549,中证800指数收益率*60%+中证综合债券指数收益率*40%,9
538,中证800指数收益率*60%+中债综合指数收益率*40%,9
1376,沪深300指数收益率*65%+中证全债指数收益率*35%,9
626,中证800指数收益率*80%+上证国债指数收益率*20%,9
1198,沪深300指数收益率*50%+中债综合指数(全价)收益率*50%,9
1290,沪深300指数收益率*60%+中债综合全价指数收益率*40%,9
10,1年期银行定期存款利率(税后)+3%(单利年化),9
1445,沪深300指数收益率*75%+中证综合债券指数收益率*25%,9
48,一年期银行定期存款利率(税后)+1%,9
1282,沪深300指数收益率*60%+中债总指数(总值)财富指数收益率*40%,9
180,中债新综合指数(财富)收益率*80%+沪深300指数收益率*20%,8
1205,沪深300指数收益率*50%+中债综合指数收益率*45%+恒生指数收益率*5%,8
264,中债综合指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,8
1344,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,8
1463,沪深300指数收益率*80%+中债综合全价指数收益率*20%,8
708,中证全债指数收益率*60%+沪深300指数收益率*40%,8
258,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,8
284,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+恒生综合指数收益率*5%+银行活期存款利率(税后)*5%,8
302,中债综合财富指数收益率*70%+沪深300指数收益率*30%,8
91,上证国债指数收益率*60%+沪深300指数收益率*40%,8
1096,沪深300指数*55%+中证全债指数*45%,8
314,中国人民银行公布的3年期定期存款利率(税后)+1%,8
587,中证800指数收益率*70%+中债综合财富指数收益率*20%+恒生指数收益率*10%,7
1082,沪深300*50%+中债总指数*50%,7
954,中证综合债指数收益率*85%+沪深300指数收益率*15%,7
951,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),7
1328,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合(全价)指数收益率*20%,7
1446,沪深300指数收益率*75%+中证综合债指数收益率*25%,7
1442,沪深300指数收益率*75%+中国债券总指数收益率*25%,7
1092,沪深300指数*55%+中债总指数(财富)*45%,7
1313,沪深300指数收益率*60%+中证国债指数收益率*40%,7
952,中证综合债指数收益率*80%+沪深300指数收益率*20%,7
999,同期中国人民银行公布的三年期银行定期存款收益率(税后)+1.5%,7
743,中证全指指数收益率*50%+中证全债指数收益率*50%,7
1364,沪深300指数收益率*65%+中债综合指数收益率(全价)*35%,6
155,中债总指数收益率*80%+沪深300指数收益率*20%,6
1261,沪深300指数收益率*55%+中证综合债指数收益率*45%,6
950,中证综合债指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,6
934,中证综合债券指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,6
184,中债新综合指数收益率*60%+中证可转换债券指数收益率*20%+沪深300指数收益率*15%+金融机构人民币活期存款基准利率(税后)*5%,6
175,中债新综合指数(财富)收益率*60%+沪深300指数收益率*35%+中证港股通综合指数收益率*5%,6
158,中债总财富(总值)指数收益率*80%+沪深300指数收益率*20%,6
234,中债综合指数(全价)收益率*85%+沪深300指数收益率*10%+恒生指数收益率(使用估值汇率调整)*5%,6
1310,沪深300指数收益率*60%+中证全债指数收益率*25%+恒生综合指数收益率*15%,6
1280,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,6
560,中证800指数收益率*65%+一年期人民币定期存款利率(税后)*35%,6
1400,沪深300指数收益率*70%+中债综合全价指数收益率*30%,6
1456,沪深300指数收益率*80%+中债总指数收益率*20%,6
720,中证全债指数收益率*75%+沪深300指数收益率*25%,6
725,中证全债指数收益率*80%+沪深300指数收益率*15%+人民币计价的恒生指数收益率*5%,6
65,三年期银行定期存款利率(税后)+2%,6
1115,沪深300指数*75%+上证国债指数*25%,6
309,中债综合财富指数收益率*80%+沪深300指数收益率*20%,6
1201,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率*20%,6
1413,沪深300指数收益率*70%+中证综合债券指数收益率*20%+恒生指数收益率*10%,6
547,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,6
631,中证800指数收益率*80%+中债综合指数收益率*20%,6
633,中证800指数收益率*80%+中国债券总指数收益率*20%,6
1401,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,6
625,中证800指数收益率*80%+上证国债指数收益率*10%+银行活期存款利率(税后)*10%,6
1131,沪深300指数*80%+中证综合债券指数*20%,6
1393,沪深300指数收益率*70%+中债总全价指数收益率*30%,6
317,中国人民银行公布的金融机构1年期人民币定期存款基准利率+3.00%,6
1379,沪深300指数收益率*65%+中证综合债券指数收益率*30%+恒生指数收益率*5%,6
637,中证800指数收益率*80%+中证综合债指数收益率*20%,6
533,中证800指数收益率*60%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*20%,6
1395,沪深300指数收益率*70%+中债总指数(全价)收益率*30%,6
259,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,6
527,中证800指数收益率*60%+中债总指数(全价)收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,5
363,中国战略新兴产业成份指数收益率*70%+上证国债指数收益率*30%,5
1147,沪深300指数收益率*35%+恒生指数收益率*35%+中证全债指数收益率*30%,5
1187,沪深300指数收益率*50%+中债综合(全价)指数收益率*50%,5
1485,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,5
1295,沪深300指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率*10%,5
1311,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,5
444,中证500指数收益率*95%+银行活期存款利率(税后)*5%,5
222,中债综合全价指数收益率*70%+沪深300指数收益率*30%,5
1139,沪深300指数*95%+上证国债指数*5%,5
1260,沪深300指数收益率*55%+中证综合债券指数收益率*45%,5
928,中证综合债券指数收益率*60%+沪深300指数收益率*40%,5
219,中债综合全价指数收益率*60%+沪深300指数收益率*40%,5
529,中证800指数收益率*60%+中债总指数收益率*40%,5
138,中债总全价指数收益率*70%+沪深300指数收益率*30%,5
1183,沪深300指数收益率*50%+中债总指数收益率*50%,5
1111,沪深300指数*70%+上证国债指数*30%,5
1404,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*30%,5
242,中债综合指数收益率*60%+沪深300指数收益率*40%,5
1243,沪深300指数收益率*55%+中债总全价指数收益率*25%+中证香港100指数收益率*20%,5
497,中证800指数收益率*50%+中债综合财富指数收益率*50%,5
96,上证国债指数收益率*80%+中证800指数收益率*20%,5
483,中证800指数收益率*50%+上证国债指数收益率*50%,5
9,1年期银行定期存款利率(税后)+2%,5
