,业绩比较基准,基准对应的基金数目
185,中证500指数收益率*95%+银行活期存款利率(税后)*5%,56
877,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,45
177,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%,16
179,中证500指数收益率*95%+商业银行活期存款利率(税后)*5%,16
831,沪深300指数收益率*80%+中债综合指数收益率*20%,15
704,创业板指数收益率*95%+银行活期存款利率(税后)*5%,15
834,沪深300指数收益率*80%+中证综合债券指数收益率*20%,12
825,沪深300指数收益率*80%+上证国债指数收益率*20%,12
697,创业板指数收益率,12
870,沪深300指数收益率*95%+商业银行活期存款利率(税后)*5%,12
869,沪深300指数收益率*95%+同期银行活期存款利率(税后)*5%,11
61,上证50指数收益率*95%+银行活期存款利率(税后)*5%,11
154,中证500指数收益率,11
793,沪深300指数收益率,11
778,沪深300指数,10
871,沪深300指数收益率*95%+活期存款利率(税后)*5%,9
222,中证800指数收益率*80%+中债综合指数收益率*20%,8
152,中证500指数,8
703,创业板指数收益率*95%+银行人民币活期存款利率(税后)*5%,8
833,沪深300指数收益率*80%+中证全债指数收益率*20%,8
874,沪深300指数收益率*95%+银行人民币活期存款利率(税后)*5%,8
182,中证500指数收益率*95%+银行人民币活期存款利率(税后)*5%,8
26,MSCI中国A股国际通指数收益率*95%+银行活期存款利率(税后)*5%,7
131,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,7
863,沪深300指数收益率*95%+一年期人民币定期存款利率(税后)*5%,6
53,上证50指数,6
346,中证全指证券公司指数收益率,6
172,中证500指数收益率*95%+一年期人民币定期存款利率(税后)*5%,6
645,中证银行指数收益率,6
208,中证800指数收益率,6
862,"沪深300指数收益率*95%+1.5%(指年收益率,评价时按期间折算)",5
470,中证央企结构调整指数收益率*95%+银行活期存款利率(税后)*5%,5
651,中证银行指数收益率*95%+银行人民币活期存款利率(税后)*5%,5
495,中证新能源汽车指数收益率*95%+银行活期存款利率(税后)*5%,5
315,中证光伏产业指数收益率,5
835,沪深300指数收益率*80%+中证综合债指数收益率*20%,5
782,沪深300指数*80%+中证全债指数*20%,5
352,中证全指证券公司指数收益率*95%+银行人民币活期存款利率(税后)*5%,5
21,MSCI中国A股国际通指数收益率,5
229,中证800指数收益率*85%+中债总指数收益率*15%,5
468,中证央企创新驱动指数收益率*95%+银行活期存款利率(税后)*5%,4
79,上证科创板50成份指数收益率,4
84,上证综合指数收益率*95%+银行活期存款利率(税后)*5%,4
524,中证消费50指数收益率*95%+银行活期存款利率(税后)*5%,4
785,沪深300指数*90%+中证全债指数*10%,4
876,沪深300指数收益率*95%+银行同业存款利率*5%,4
337,中证全指家用电器指数收益率*95%+银行活期存款利率(税后)*5%,4
790,沪深300指数*95%+银行同业存款利率*5%,4
395,中证军工指数收益率*95%+银行活期存款利率(税后)*5%,4
841,沪深300指数收益率*85%+中债总财富(总值)指数收益率*15%,4
467,中证央企创新驱动指数收益率*95%+银行活期存款(税后)利率*5%,4
868,沪深300指数收益率*95%+同期银行活存款利率(税后)*5%,4
128,中证1000指数收益率*95%+一年期人民币定期存款利率(税后)*5%,4
846,沪深300指数收益率*90%+上证国债指数收益率*10%,4
133,中证100指数*95%+活期存款利率(税后)*5%,4
180,中证500指数收益率*95%+活期存款利率(税后)*5%,4
