,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
1,000003.OF,中海可转换债券A,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,
2,000004.OF,中海可转换债券C,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,
3,000005.OF,嘉实增强信用,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,
4,000006.OF,西部利得量化成长A,混合型基金,偏股混合型基金,中证500指数收益率*75%+同期银行活期存款利率(税后)*25%,中证500指数收益率,75%,同期银行活期存款利率(税后),25%,nan,,nan,,nan,
5,000008.OF,嘉实中证500ETF联接A,股票型基金,被动指数型基金,中证500指数收益率*95%+银行活期存款利率(税后)*5%,中证500指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
6,000009.OF,易方达天天A,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,
7,000010.OF,易方达天天B,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,
8,000011.OF,华夏大盘精选,混合型基金,偏股混合型基金,富时中国A200指数*80%+富时中国国债指数*20%,富时中国A200指数,80%,富时中国国债指数,20%,nan,,nan,,nan,
9,000013.OF,易方达天天R,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,
10,000014.OF,华夏聚利,债券型基金,混合债券型一级基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,
11,000015.OF,华夏纯债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
12,000016.OF,华夏纯债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,
13,000017.OF,财通可持续发展主题,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
14,000020.OF,景顺长城品质投资,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%,nan,,nan,,nan,
15,000021.OF,华夏优势增长,混合型基金,偏股混合型基金,富时中国A600指数收益率*80%+中债综合指数(财富)收益率*20%,富时中国A600指数收益率,80%,中债综合指数(财富)收益率,20%,nan,,nan,,nan,
16,000024.OF,大摩双利增强A,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,
17,000025.OF,大摩双利增强C,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,
18,000028.OF,华富安鑫,债券型基金,混合债券型二级基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,
19,000029.OF,富国宏观策略,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%,nan,,nan,,nan,
20,000030.OF,长城核心优选,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总财富指数收益率*45%,沪深300指数收益率,55%,中债总财富指数收益率,45%,nan,,nan,,nan,
21,000031.OF,华夏复兴,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
22,000032.OF,易方达信用债A,债券型基金,中长期纯债型基金,中债-信用债总指数,中债-信用债总指数,,nan,,nan,,nan,,nan,
23,000033.OF,易方达信用债C,债券型基金,中长期纯债型基金,中债-信用债总指数,中债-信用债总指数,,nan,,nan,,nan,,nan,
24,000037.OF,广发景宁纯债,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+银行一年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,银行一年期定期存款利率(税后),10%,nan,,nan,,nan,
25,000039.OF,农银汇理低估值高增长,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%,nan,,nan,,nan,
26,000041.OF,华夏全球精选,国际(QDII)基金,国际(QDII)股票型基金,摩根士丹利资本国际全球指数(MSCI All Country World Index),摩根士丹利资本国际全球指数(MSCI All Country World Index),,nan,,nan,,nan,,nan,
