,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
4,000006.OF,西部利得量化成长A,混合型基金,偏股混合型基金,中证500指数收益率*75%+同期银行活期存款利率(税后)*25%,中证500指数收益率,75%,同期银行活期存款利率(税后),25%
8,000011.OF,华夏大盘精选,混合型基金,偏股混合型基金,富时中国A200指数*80%+富时中国国债指数*20%,富时中国A200指数,80%,富时中国国债指数,20%
13,000017.OF,财通可持续发展主题,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
14,000020.OF,景顺长城品质投资,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%
15,000021.OF,华夏优势增长,混合型基金,偏股混合型基金,富时中国A600指数收益率*80%+中债综合指数(财富)收益率*20%,富时中国A600指数收益率,80%,中债综合指数(财富)收益率,20%
19,000029.OF,富国宏观策略,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债综合指数收益率*35%,沪深300指数收益率,65%,中债综合指数收益率,35%
20,000030.OF,长城核心优选,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总财富指数收益率*45%,沪深300指数收益率,55%,中债总财富指数收益率,45%
21,000031.OF,华夏复兴,混合型基金,偏股混合型基金,沪深300指数收益率*80%+上证国债指数收益率*20%,沪深300指数收益率,80%,上证国债指数收益率,20%
25,000039.OF,农银汇理低估值高增长,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
39,000056.OF,建信消费升级,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中国债券总指数收益率*25%,沪深300指数收益率,75%,中国债券总指数收益率,25%
40,000057.OF,中银消费主题,混合型基金,偏股混合型基金,中证内地消费主题指数收益率*75%+上证国债指数收益率*25%,中证内地消费主题指数收益率,75%,上证国债指数收益率,25%
41,000058.OF,国联安安泰灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*55%+上证国债指数收益率*45%,沪深300指数收益率,55%,上证国债指数收益率,45%
43,000061.OF,华夏盛世精选,混合型基金,偏股混合型基金,沪深300指数*80%+上证国债指数*20%,沪深300指数,80%,上证国债指数,20%
44,000063.OF,长盛电子信息主题,混合型基金,灵活配置型基金,中证TMT产业主题指数收益率*50%+中证综合债指数收益率*50%,中证TMT产业主题指数收益率,50%,中证综合债指数收益率,50%
46,000065.OF,国富焦点驱动灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,沪深300指数收益率,60%,中债国债总指数收益率(全价),40%
47,000066.OF,诺安鸿鑫,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证全债指数收益率*20%,沪深300指数收益率,80%,中证全债指数收益率,20%
53,000072.OF,华安稳健回报,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
54,000073.OF,上投摩根成长动力,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中债总指数收益率*20%,沪深300指数收益率,80%,中债总指数收益率,20%
78,000110.OF,金鹰元安A,混合型基金,偏债混合型基金,中债总财富(总值)指数收益率*80%+沪深300指数收益率*20%,中债总财富(总值)指数收益率,80%,沪深300指数收益率,20%
84,000117.OF,广发轮动配置,混合型基金,偏股混合型基金,沪深300指数*80%+中证全债指数*20%,沪深300指数,80%,中证全债指数,20%
87,000120.OF,中银美丽中国,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%
88,000121.OF,华夏永福A,混合型基金,偏债混合型基金,一年定期存款利率(税后)+2%,一年定期存款利率(税后),,2%,
91,000124.OF,华宝服务优选,混合型基金,偏股混合型基金,中证服务业指数收益率*80%+上证国债指数收益率*20%,中证服务业指数收益率,80%,上证国债指数收益率,20%
92,000126.OF,招商安润,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债综合全价(总值)指数收益率*45%,沪深300指数收益率,55%,中债综合全价(总值)指数收益率,45%
93,000127.OF,农银汇理行业领先,混合型基金,偏股混合型基金,沪深300指数*75%+中证全债指数*25%,沪深300指数,75%,中证全债指数,25%
100,000136.OF,民生加银策略精选A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债国债总指数收益率(全价)*40%,沪深300指数收益率,60%,中债国债总指数收益率(全价),40%
113,000165.OF,国投瑞银策略精选,混合型基金,灵活配置型基金,沪深300指数*55%+中债总指数*45%,沪深300指数,55%,中债总指数,45%
114,000166.OF,中海信息产业精选,混合型基金,偏股混合型基金,中证TMT产业主题指数收益率*80%+中证全债指数收益率*20%,中证TMT产业主题指数收益率,80%,中证全债指数收益率,20%
115,000167.OF,广发聚优A,混合型基金,灵活配置型基金,沪深300指数*50%+中证全债指数*50%,沪深300指数,50%,中证全债指数,50%
