,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1
6,000009.OF,易方达天天A,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的活期存款基准利率的收益率(税后)'],中国人民银行公布的活期存款基准利率的收益率(税后),"['中国人民银行公布的活期存款基准利率的收益率(税后)', nan]"
7,000010.OF,易方达天天B,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的活期存款基准利率的收益率(税后)'],中国人民银行公布的活期存款基准利率的收益率(税后),"['中国人民银行公布的活期存款基准利率的收益率(税后)', nan]"
9,000013.OF,易方达天天R,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的活期存款基准利率的收益率(税后)'],中国人民银行公布的活期存款基准利率的收益率(税后),"['中国人民银行公布的活期存款基准利率的收益率(税后)', nan]"
140,000198.OF,天弘余额宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
144,000203.OF,国富日日收益A,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
145,000204.OF,国富日日收益B,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
151,000210.OF,光大现金宝A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
152,000211.OF,光大现金宝B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
205,000300.OF,德邦德利货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
206,000301.OF,德邦德利货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
221,000324.OF,华润元大现金收益A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
222,000325.OF,华润元大现金收益B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
227,000330.OF,汇添富现金宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
228,000331.OF,中加货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
229,000332.OF,中加货币C,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
238,000343.OF,华夏财富宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
244,000353.OF,华夏现金增利E,货币市场型基金,货币市场型基金,同期七天通知存款利率,同期七天通知存款利率,,nan,,nan,,nan,,nan,,['同期七天通知存款利率'],同期七天通知存款利率,"['同期七天通知存款利率', nan]"
248,000359.OF,易方达易理财A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
251,000366.OF,汇添富添富通A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
256,000371.OF,民生加银现金宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
262,000379.OF,平安日增利A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
263,000380.OF,景顺长城景益货币A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
264,000381.OF,景顺长城景益货币B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
267,000389.OF,广发天天红A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
272,000397.OF,汇添富全额宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
293,000424.OF,长盛添利宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
294,000425.OF,长盛添利宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
298,000434.OF,新华壹诺宝A,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
301,000439.OF,国金鑫盈货币,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
307,000464.OF,嘉实活期宝,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
312,000475.OF,广发天天利A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
313,000476.OF,广发天天利B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
318,000483.OF,鑫元货币A,货币市场型基金,货币市场型基金,同期活期存款利率(税后),同期活期存款利率(税后),,nan,,nan,,nan,,nan,,['同期活期存款利率(税后)'],同期活期存款利率(税后),"['同期活期存款利率(税后)', nan]"
319,000484.OF,鑫元货币B,货币市场型基金,货币市场型基金,同期活期存款利率(税后),同期活期存款利率(税后),,nan,,nan,,nan,,nan,,['同期活期存款利率(税后)'],同期活期存款利率(税后),"['同期活期存款利率(税后)', nan]"
