,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,中债综合指数收益率,217,1
1,中债综合全价(总值)指数收益率,176,1
2,中证全债指数收益率,156,1
3,中证综合债指数收益率,140,1
4,中债综合全价指数收益率,125,1
5,中国债券综合全价指数收益率,77,1
6,中债综合(全价)指数收益率,68,1
7,中债综合财富(总值)指数收益率,60,1
8,中债综合指数,60,1
9,中债总全价指数收益率,56,1
10,中证全债指数,54,1
11,中国债券综合指数收益率,49,1
12,中债综合财富(1年以下)指数收益率,44,1
13,中债综合指数(全价)收益率,43,1
14,中债综合全价(总值)指数,42,1
15,中债综合全价指数,34,1
16,中债总指数收益率,31,1
17,中债信用债总指数收益率,27,1
18,中债总指数(全价)收益率,25,1
19,中国债券总指数,24,1
20,中证综合债券指数,22,1
21,中国债券综合全价指数,22,1
22,中债综合指数(全价),20,1
23,中债新综合指数(全价)收益率,15,1
24,中债-综合指数(全价)收益率,13,1
25,七天通知存款利率(税后),13,1
26,中债综合财富指数收益率,12,1
27,中债总财富(总值)指数收益率,12,1
28,中债总财富(1-3年)指数收益率,12,1
29,中国债券总指数收益率,11,1
30,中债-综合财富(1年以下)指数收益率,11,1
31,中债新综合财富(总值)指数收益率,10,1
32,中债高信用等级债券财富指数,9,1
33,中债-综合全价(总值)指数收益率,9,1
34,中债信用债总指数,9,1
35,中债总指数(全价),9,1
36,中债综合财富(1-3年)指数收益率,8,1
37,中债信用债总财富(1年以下)指数收益率,8,1
38,中债综合指数(总财富)收益率,8,1
39,中证综合债指数,7,1
40,中债-固定利率债券全价(1-3年)指数收益率,7,1
41,中债总全价(总值)指数收益率,7,1
42,三年期银行定期存款收益率(税后),7,1
43,中国债券综合财富指数收益率,7,1
44,中债-国债及政策性银行债指数收益率,7,1
45,中国人民银行公布的1年期定期存款利率(税后),6,1
46,中证综合债券指数收益率,6,1
47,中债新综合全价(1年以下)指数收益率,6,1
48,中债总指数,6,1
49,人民币七天通知存款利率(税后),6,1
50,中证短债指数收益率,5,1
51,中证短融AAA指数收益率,5,1
52,中国人民银行公告的金融机构人民币七天通知存款基准利率(税后),5,1
53,中债-7-10年期国开行债券指数收益率,5,1
54,一年期银行定期存款利率(税后),5,1
55,中债-新综合全价(1年以下)指数收益率,5,1
56,中债短融总指数收益率,5,1
57,中债企业债总全价指数,5,1
58,固定利率固定业绩基准7%,4,1
59,中债新综合指数,4,1
60,中债-金融债券总指数收益率,4,1
61,中债高信用等级债券财富指数收益率,4,1
62,中国债券综合财富指数,4,1
63,1年期定期存款利率(税后),4,1
64,中债-信用债总指数,4,1
65,中债综合指数收益率(全价),4,1
66,中债金融债总财富指数收益率,4,1
67,中债1-3年政策性金融债指数收益率,4,1
68,中债综合(全价)指数,4,1
69,一年期定期存款利率(税后),4,1
