,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,人民币活期存款利率(税后),11,0.05454545454545456
1,固定利率3%,9,1
2,中国人民银行公布的同期一年期定期存款基准利率(税后),6,0
3,银行活期存款利率(税后),6,0
4,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率,4,0
5,银行活期存款收益率(税后),4,0
6,活期存款利率(税后),4,0
7,固定利率1%,4,1
8,中国人民银行公布的一年期定期存款基准利率(税后),4,0
9,固定利率2%,4,1
10,上海黄金交易所Au99.99现货实盘合约收盘价收益率,3,0
11,中国人民银行公布的同期1年期银行定期存款基准利率(税后),3,0
12,上海黄金交易所Au99.99现货实盘合约收盘价计算的收益率,2,0
13,国内黄金现货价格收益率,2,0
14,上海黄金交易所黄金现货实盘合约Au9999价格收益率,2,0
15,大连商品交易所豆粕期货价格指数收益率,2,0
16,上海黄金交易所挂盘交易的Au99.99合约收益率,2,0
17,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率,2,0
18,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,2,0
19,中国人民银行公布的一年期银行定期存款基准利率(税后),2,0
20,上海黄金交易所AU99.99收益率,2,0
21,上海期货交易所有色金属期货价格指数收益率,2,0
22,十年期国债收益率,1,0
23,中国人民银行公布的同期1年定期存款基准利率(税后),1,0
24,固定利率1.5%,1,1
25,金融机构人民币一年期定期存款基准利率(税后),1,0
