,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,同期人民币三年期定期存款利率(税后),6,1
1,彭博巴克莱短期美元综合债券指数(Bloomberg BarclaysShort-Term U.S. Aggregate Bond Index)收益率,4,1
2,标普高盛原油商品指数(S&P GSCI Crude Oil Index ER)收益率,4,1
3,人民币计价的纳斯达克100总收益指数收益率,4,1
4,人民币计价的MSCI美国REIT净总收益指数(MSCI US REIT Net Daily Total Return Index),4,1
5,美银美林1-10年期美国总体市场指数(BofA Merrill Lynch 1-10 Years US Broad Market Index)收益率,3,1
6,"标普全球高端消费品指数(净收益指数,使用估值汇率折算)",3,1
7,标普石油天然气上游股票指数(全收益指数),3,1
8,纳斯达克100价格指数(Nasdaq 100 Price Index)收益率,3,1
9,JP Morgan Asian Credit Index Composite Total Return,3,1
10,纳斯达克100指数(Nasdaq-100 Index)收益率(经汇率调整后的总收益指数收益率),2,1
11,摩根斯坦利金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),2,1
12,人民币计价的标普全球1200医疗保健指数收益率,2,1
13,恒生中国企业指数收益率(使用估值汇率折算),2,1
14,日经225指数收益率(经汇率调整后),2,1
15,人民币计价的富时国际高收益公司债指数(FTSE USD International High Yield Corporate Bond Index in RMB ),2,1
16,日经225指数收益率(使用估值汇率折算),1,1
17,法国CAC40指数收益率(经汇率调整后),1,1
18,标普高盛商品总指数收益率(S&P GSCI Commodity Total Return Index),1,1
19,国泰大宗商品配置指数(全收益指数),1,1
20,标准普尔金砖四国(含香港)市场指数(总回报),1,1
21,MSCI亚太综合指数(不含日本)(MSCI AC Asia Pacific ex Japan Index),1,1
22,摩根斯坦利综合亚太指数(不含日本)(MSCI AC Asia Pacific Index ex Japan),1,1
23,摩根士丹利资本国际新兴市场指数(MSCI Emerging Markets Index (Net Total Return)),1,1
24,人民币/港币汇率,1,1
25,摩根斯坦利新兴市场股票指数(总回报),1,1
26,MSCI中国指数(以美元计价),1,1
27,WTI原油价格收益率,1,1
28,MSCI金龙净总收益指数(MSCI Golden Dragon Net Total Return Index),1,1
29,标普能源行业指数(净收益)(S&P 500 Energy Sector Index(NTR)),1,1
30,MSCI金龙净总收益指数,1,1
31,"欧洲货币矿产,黄金及能源指数(Euromoney Mining,Gold&Energy Index)",1,1
32,中证浙江新动能指数收益率,1,1
33,FTSE EPRA/NAREIT Developed REITs Total Return Index(经汇率调整后的),1,1
34,MSCI中国指数,1,1
35,标普全球石油净总收益指数收益率(S&P Global Oil Index Net Total Return),1,1
36,(人民币/港币汇率,1,1
37,伦敦金价格(汇率调整后),1,1
38,伦敦金价格收益率(折成人民币后),1,1
39,"标普500指数(S&P 500 Index(NTR,Net total Return))(经估值汇率调整,以人民币计价)",1,1
40,MSCI中华指数(MSCI Zhong Hua Index),1,1
41,中证海外内地股指数,1,1
42,标普500等权重指数(全收益指数),1,1
43,MSCI AC亚洲除日本指数,1,1
44,MSCI All Country World Index(MSCI ACWI 指数)总收益,1,1
45,"东证指数(Tokyo Stock Price Index,“TOPIX”)(经汇率调整后)",1,1
46,MSCI亚洲(除日本)净总收益指数(MSCI AC Asia ex Japan Index(Net Total Return)),1,1
47,标准普尔高盛商品总收益指数(S&P GSCI Commodity Total Return Index),1,1
48,FTSE EPRA/NAREIT Developed REITs Total Return Index,1,1
49,摩根大通亚洲债券中国总收益指数(JACI China Total Return Index)(经估值日汇率调整后的),1,1
50,恒生中国企业指数,1,1
51,摩根斯坦利世界大盘股指数(MSCI World Large Cap Index),1,1
52,中证海外中国互联网50指数,1,1
53,标普中国新经济行业(A股上限)指数收益率,1,1
54,伦敦金价格折成人民币后的收益率,1,1
55,恒生互联网科技业指数收益率(使用估值汇率折算),1,1
56,标准普尔100等权重指数总收益率,1,1
57,摩根士丹利资本国际全球指数(MSCI All Country World Index),1,1
58,彭博巴克莱中资美元债指数(Bloomberg Barclays Asia Ex-Japan USD Credit China)收益率,1,1
59,德国DAX指数(DAX Index)收益率(经汇率调整后的总收益指数收益率),1,1
60,估值汇率调整后的纳斯达克100指数收益,1,1
61,纳斯达克100价格指数,1,1
62,MSCI中华指数(MSCI ZhongHua Index),1,1
63,MSCI All Country World Indexsm(MSCI世界指数)总收益,1,1
64,纳斯达克100指数(Nasdaq-100 Index)收益率(总收益指数收益率),1,1
