,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,恒生综合指数收益率,4,0
1,中证主要消费指数收益率,4,0
2,中债综合指数收益率,4,0
3,中证短债指数收益率,2,0
4,中证新能源指数收益率,2,0
5,中证可选消费行业指数收益率,2,0
6,中证科技100指数收益率,2,0
7,商业银行人民币活期存款利率(税后),2,0
8,中证医疗指数收益率,2,0
9,中证养老产业指数收益率,2,0
10,中证内地资源主题指数收益率,2,0
11,中信通信指数收益率,2,0
12,中证综合债券指数收益率,2,0
13,恒生原材料行业指数收益率,2,0
14,中证长三角龙头企业指数收益率,2,0
15,中证800指数收益率,2,0
16,银行活期存款利率(税后),2,0
17,中债总指数收益率,2,0
18,中信计算机指数收益率,2,0
19,恒生能源行业指数收益率,2,0
20,中证主要消费行业指数收益率,2,0
21,中证港股通工业综合指数收益率,2,0
22,中证港股通科技指数收益率,2,0
23,中债综合财富指数收益率,2,0
24,中证高端装备制造指数收益率,2,0
25,恒生指数收益率,2,0
26,中证互联网指数收益率,2,0
27,中证珠三角沿海区域发展主题指数收益率,2,0
28,中信电子元器件指数收益率,2,0
29,中证全债指数收益率,1,0
30,中证港股通可选消费综合指数收益率,1,0
31,中证港股通主要消费综合指数收益率,1,0
32,中证内地消费主题指数收益率,1,0
