,业绩比较基准,基准对应的基金数目
29,中国人民银行公布的一年期定期存款基准利率(税后)+3%,4
4,一年期银行定期存款利率(税后),4
44,黄金现货实盘合约AU99.99收益率,3
34,中国人民银行公布的同期一年期定期存款基准利率(税后)+3%,3
19,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,3
33,中国人民银行公布的同期一年期定期存款基准利率(税后)+2%,3
32,中国人民银行公布的同期1年期银行定期存款基准利率(税后)+1%,3
35,中国人民银行公布的同期一年期银行定期存款基准利率(税后),2
36,中国人民银行公布的同期三年期定期存款基准利率(税后),2
39,国内黄金现货价格收益率*95%+人民币活期存款利率(税后)*5%,2
30,中国人民银行公布的一年期银行定期存款基准利率(税后)+3%,2
41,大连商品交易所豆粕期货价格指数收益率*95%+人民币活期存款利率(税后)*5%,2
28,上海黄金交易所黄金现货实盘合约Au9999价格收益率*95%+人民币活期存款利率(税后)*5%,2
26,上海黄金交易所挂盘交易的Au99.99合约收益率*95%+银行活期存款收益率(税后)*5%,2
24,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率*95%+银行活期存款收益率(税后)*5%,2
1,一年期定期存款利率(税后),2
21,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+活期存款利率(税后)*5%,2
20,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率*95%+人民币活期存款利率(税后)*5%,2
18,上海黄金交易所Au99.99现货实盘合约收盘价计算的收益率*95%+活期存款利率(税后)*5%,2
12,上海黄金交易所AU99.99收益率*95%+银行活期存款利率(税后)*5%,2
2,一年期定期存款基准利率(税后),2
3,一年期金融机构人民币存款基准利率,2
6,一年期银行定期存款收益率(税后),2
8,三年期银行定期存款利率(税后),2
17,上海黄金交易所Au99.99现货实盘合约收盘价收益率*95%+人民币活期存款利率(税后)*5%,2
10,上海期货交易所有色金属期货价格指数收益率*95%+银行活期存款利率(税后)*5%,2
22,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+银行活期存款利率(税后)*5%,2
27,上海黄金交易所黄金现货实盘合约Au99.99价格收益率,1
37,十年期国债收益率+1.5%,1
43,金融机构人民币一年期定期存款基准利率(税后)+2%,1
42,易盛郑商所能源化工指数A收益率,1
16,上海黄金交易所Au99.99现货实盘合约收盘价收益率*90%+人民币活期存款利率(税后)*10%,1
40,大连商品交易所豆粕期货价格指数收益率,1
15,上海黄金交易所Au99.99现货实盘合约收盘价收益率,1
38,国内黄金现货价格收益率,1
5,一年期银行定期存款收益率,1
11,上海期货交易所白银期货主力合约收益率(扣除相关费用),1
23,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率,1
7,三个月银行定期存款收益率(税后),1
14,上海黄金交易所Au99.99现货实盘合约收盘价,1
25,上海黄金交易所挂盘交易的Au99.99合约,1
31,中国人民银行公布的同期1年定期存款基准利率(税后)+1%,1
13,上海黄金交易所Au99.99现货实盘合约收益率,1
9,上海期货交易所有色金属期货价格指数收益率,1
