,业绩比较基准,基准对应的基金数目
78,巴克莱全球债券指数(Barclay Global Aggregate Index)*95%+同期人民币一年定期存款利率(税后)*5%,8
80,巴克莱资本美国综合债券指数收益率*95%+商业银行活期存款基准利率(税后)*5%,8
74,同期人民币三年期定期存款利率(税后),6
66,人民币计价的道琼斯美国石油开发与生产指数收益率*95%+人民币活期存款收益率(税后)*5%,4
64,人民币计价的纳斯达克100总收益指数收益率,4
1,(人民币/港币汇率*恒生指数)收益率*95%+人民币活期存款利率(税后)*5%,4
59,人民币计价的富时100指数收益率*95%(Financial Times Stock Exchange 100 Index)+活期存款利率(税后)*5%,4
79,巴克莱资本美国综合债券指数收益率*90%+商业银行活期存款基准利率(税后)*10%,4
57,人民币计价的MSCI美国REIT净总收益指数(MSCI US REIT Net Daily Total Return Index),4
131,标普高盛原油商品指数(S&P GSCI Crude Oil Index ER)收益率,4
82,彭博巴克莱亚太综合债券总收益指数收益率*60%+中债综合指数收益率*40%,4
88,彭博巴克莱短期美元综合债券指数(Bloomberg BarclaysShort-Term U.S. Aggregate Bond Index)收益率,4
47,中证海外中国互联网50指数收益率*95%+活期存款利率(税后)*5%,4
91,恒生中国企业指数(使用估值汇率折算)收益率*95%+活期存款利率(税后)*5%,4
38,中债综合指数收益率*50%+摩根大通亚洲信用债指数中国子指数(J.P. Morgan Asia Credit Index China)收益率*50%,4
37,中债综合指数*50%+摩根大通亚洲信用债指数中国子指数*50%,4
103,摩根大通1-3年全球投资级美元债总回报指数(J.P. Morgan Global Aggregate US IG 1-3 Total Return Index )(按照估值汇率折算)收益率*90%+人民币活期存款利率(税后)*10%,4
31,iBoxx美元债总回报指数(iBoxx USD Overall Total Return Index)收益率*95%+商业银行活期存款基准利率(税后)*5%,4
67,以伦敦黄金市场下午定盘价计价的国际现货黄金(经汇率折算)*50%+MSCI全球金矿股指数(MSCI ACWI SELECT GOLD MINERSIMI INDEX)*50%,4
2,(美国10年期国债收益率+1.5%)*70%+摩根士丹利资本国际全球指数(MSCI All Country World Index)收益率*30%,4
