,业绩比较基准,基准对应的基金数目
31,活期存款利率(税后),151
20,同期七天通知存款利率(税后),112
6,七天通知存款利率(税后),108
14,人民币活期存款利率(税后),52
38,银行活期存款利率(税后),43
7,中国人民银行公布的七天通知存款利率(税后),37
13,人民币七天通知存款利率(税后),21
15,人民币活期存款基准利率(税后),21
23,同期中国人民银行公布的七天通知存款利率(税后),17
8,中国人民银行公布的人民币活期存款基准利率(税后),10
17,同期7天通知存款利率(税后),10
5,七天通知存款利率(税前),9
28,当期银行活期存款利率(税后),9
4,一年期银行定期存款利率(税后),8
16,六个月银行定期存款利率(税后),7
24,同期活期存款利率(税后),6
21,同期七天通知存款利率(税后)*1.3,5
33,金融机构人民币活期存款基准利率(税后),5
30,按中国人民银行公布币活期存款利率(税后),4
27,当期银行个人活期存款利率(税前),4
10,中国人民银行公布的活期存款基准利率的收益率(税后),4
9,中国人民银行公布的活期存款基准利率收益率(税后),4
11,中国人民银行最新公布的七天通知存款利率(税后),3
19,同期七天通知存款利率,3
25,当期银行个人活期储蓄利率(税前),2
26,当期银行个人活期储蓄利率(税后),2
1,一年期定期存款利率(税后),2
18,同期七天存款利率(税后),2
29,当期银行活期存款收益率(税后),2
3,一年期银行定期储蓄存款的利率(税后),2
2,一年期定期存款收益率(税后),2
32,活期存款基准利率*(1-利息税税率),2
12,人民币一年期银行定期储蓄存款利率(税后),2
34,银行六个月定期储蓄存款利率(税后),2
35,银行半年期定期存款利率(税后),2
36,银行活期利率(税后),2
37,银行活期存款利率,2
22,同期中国人民银行公布的七天通知存款利率(税前),2
