,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
1,000003.OF,中海可转换债券A,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,,"['中信标普可转债指数收益率*70%', '中证综合债券指数收益率*20%', '上证红利指数*10%', nan]",中信标普可转债指数收益率*70%,"['中信标普可转债指数收益率', '70%']",中证综合债券指数收益率*20%,"['中证综合债券指数收益率', '20%']",上证红利指数*10%,"['上证红利指数', '10%']",,"['nan', nan]"
2,000004.OF,中海可转换债券C,债券型基金,混合债券型二级基金,中信标普可转债指数收益率*70%+中证综合债券指数收益率*20%+上证红利指数*10%,中信标普可转债指数收益率,70%,中证综合债券指数收益率,20%,上证红利指数,10%,nan,,nan,,"['中信标普可转债指数收益率*70%', '中证综合债券指数收益率*20%', '上证红利指数*10%', nan]",中信标普可转债指数收益率*70%,"['中信标普可转债指数收益率', '70%']",中证综合债券指数收益率*20%,"['中证综合债券指数收益率', '20%']",上证红利指数*10%,"['上证红利指数', '10%']",,"['nan', nan]"
3,000005.OF,嘉实增强信用,债券型基金,中长期纯债型基金,一年期银行定期存款收益率(税后)+1.2%,一年期银行定期存款收益率(税后),,1.2%,,nan,,nan,,nan,,"['一年期银行定期存款收益率(税后)', '1.2%', nan, nan]",一年期银行定期存款收益率(税后),"['一年期银行定期存款收益率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
10,000014.OF,华夏聚利,债券型基金,混合债券型一级基金,一年期定期存款利率(税后)+1.2%,一年期定期存款利率(税后),,1.2%,,nan,,nan,,nan,,"['一年期定期存款利率(税后)', '1.2%', nan, nan]",一年期定期存款利率(税后),"['一年期定期存款利率(税后)', nan]",1.2%,"['1.2%', nan]",,"['nan', nan]",,"['nan', nan]"
11,000015.OF,华夏纯债A,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
12,000016.OF,华夏纯债C,债券型基金,中长期纯债型基金,中债综合指数,中债综合指数,,nan,,nan,,nan,,nan,,"['中债综合指数', nan, nan, nan]",中债综合指数,"['中债综合指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
16,000024.OF,大摩双利增强A,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,,"['中债企业债总全价指数收益率*40%', '中证可转债指数收益率*40%', '中债国债总全价指数收益率*20%', nan]",中债企业债总全价指数收益率*40%,"['中债企业债总全价指数收益率', '40%']",中证可转债指数收益率*40%,"['中证可转债指数收益率', '40%']",中债国债总全价指数收益率*20%,"['中债国债总全价指数收益率', '20%']",,"['nan', nan]"
17,000025.OF,大摩双利增强C,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*40%+中证可转债指数收益率*40%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,40%,中证可转债指数收益率,40%,中债国债总全价指数收益率,20%,nan,,nan,,"['中债企业债总全价指数收益率*40%', '中证可转债指数收益率*40%', '中债国债总全价指数收益率*20%', nan]",中债企业债总全价指数收益率*40%,"['中债企业债总全价指数收益率', '40%']",中证可转债指数收益率*40%,"['中证可转债指数收益率', '40%']",中债国债总全价指数收益率*20%,"['中债国债总全价指数收益率', '20%']",,"['nan', nan]"
18,000028.OF,华富安鑫,债券型基金,混合债券型二级基金,中证全债指数收益率,中证全债指数收益率,,nan,,nan,,nan,,nan,,"['中证全债指数收益率', nan, nan, nan]",中证全债指数收益率,"['中证全债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
22,000032.OF,易方达信用债A,债券型基金,中长期纯债型基金,中债-信用债总指数,中债-信用债总指数,,nan,,nan,,nan,,nan,,"['中债-信用债总指数', nan, nan, nan]",中债-信用债总指数,"['中债-信用债总指数', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
