,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
5,000008.OF,嘉实中证500ETF联接A,股票型基金,被动指数型基金,中证500指数收益率*95%+银行活期存款利率(税后)*5%,中证500指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
27,000042.OF,财通中证100指数增强A,股票型基金,增强指数型基金,中证财通中国可持续发展100(ECPI ESG)指数收益率*95%+银行活期存款利率(税后)*5%,中证财通中国可持续发展100(ECPI ESG)指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
35,000051.OF,华夏沪深300ETF联接A,股票型基金,被动指数型基金,"沪深300指数收益率*95%+1%(指年收益率,评价时应按期间折算)",沪深300指数收益率,95%,"1%(指年收益率,评价时应按期间折算)",,nan,,nan,,nan,
42,000059.OF,国联安中证医药100A,股票型基金,被动指数型基金,中证医药100指数收益率*95%+活期存款利率(税后)*5%,中证医药100指数收益率,95%,活期存款利率(税后),5%,nan,,nan,,nan,
63,000082.OF,嘉实研究阿尔法,股票型基金,普通股票型基金,MSCI中国A股指数收益率*95%+银行活期存款利率(税后)*5%,MSCI中国A股指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
121,000176.OF,嘉实沪深300增强,股票型基金,增强指数型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
174,000248.OF,汇添富中证主要消费ETF联接,股票型基金,被动指数型基金,中证主要消费指数收益率*95%+银行活期存款利率(税后)*5%,中证主要消费指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
211,000309.OF,大摩品质生活精选,股票型基金,普通股票型基金,沪深300指数收益率*85%+标普中国债券指数收益率*15%,沪深300指数收益率,85%,标普中国债券指数收益率,15%,nan,,nan,,nan,
213,000311.OF,景顺长城沪深300增强,股票型基金,增强指数型基金,"沪深300指数收益率*95%+1.5%(指年收益率,评价时按期间折算)",沪深300指数收益率,95%,"1.5%(指年收益率,评价时按期间折算)",,nan,,nan,,nan,
214,000312.OF,华安沪深300量化增强A,股票型基金,增强指数型基金,沪深300指数收益率*95%+同期商业银行活期存款基准利率(税后)*5%,沪深300指数收益率,95%,同期商业银行活期存款基准利率(税后),5%,nan,,nan,,nan,
215,000313.OF,华安沪深300量化增强C,股票型基金,增强指数型基金,沪深300指数收益率*95%+同期商业银行活期存款基准利率(税后)*5%,沪深300指数收益率,95%,同期商业银行活期存款基准利率(税后),5%,nan,,nan,,nan,
223,000326.OF,南方中小盘成长,股票型基金,普通股票型基金,中证700指数收益率*80%+上证国债指数收益率*20%,中证700指数收益率,80%,上证国债指数收益率,20%,nan,,nan,,nan,
253,000368.OF,汇添富沪深300安中动态策略,股票型基金,被动指数型基金,沪深300安中动态策略指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,沪深300安中动态策略指数收益率,95%,金融机构人民币活期存款基准利率(税后),5%,nan,,nan,,nan,
258,000373.OF,华安中证细分医药ETF联接A,股票型基金,被动指数型基金,中证细分医药产业主题指数收益率*95%+商业银行活期存款利率(税后)*5%,中证细分医药产业主题指数收益率,95%,商业银行活期存款利率(税后),5%,nan,,nan,,nan,
259,000376.OF,华安中证细分医药ETF联接C,股票型基金,被动指数型基金,中证细分医药产业主题指数收益率*95%+商业银行活期存款利率(税后)*5%,中证细分医药产业主题指数收益率,95%,商业银行活期存款利率(税后),5%,nan,,nan,,nan,
280,000409.OF,鹏华环保产业,股票型基金,普通股票型基金,中证环保产业指数收益率*80%+中证综合债指数收益率*20%,中证环保产业指数收益率,80%,中证综合债指数收益率,20%,nan,,nan,,nan,
282,000411.OF,景顺长城优质成长,股票型基金,普通股票型基金,沪深300指数*90%+中证全债指数*10%,沪深300指数,90%,中证全债指数,10%,nan,,nan,,nan,
287,000418.OF,景顺长城成长之星,股票型基金,普通股票型基金,沪深300指数*90%+中证全债指数*10%,沪深300指数,90%,中证全债指数,10%,nan,,nan,,nan,
303,000457.OF,上投摩根核心成长,股票型基金,普通股票型基金,沪深300指数收益率*85%+中债总指数收益率*15%,沪深300指数收益率,85%,中债总指数收益率,15%,nan,,nan,,nan,
311,000471.OF,富国城镇发展,股票型基金,普通股票型基金,沪深300指数收益率*80%+中债综合指数收益率*20%,沪深300指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
315,000478.OF,建信中证500指数增强A,股票型基金,增强指数型基金,中证500指数收益率*95%+商业银行活期存款利率(税前)*5%,中证500指数收益率,95%,商业银行活期存款利率(税前),5%,nan,,nan,,nan,
339,000512.OF,国泰沪深300指数增强A,股票型基金,增强指数型基金,沪深300指数收益率*95%+同期银行活期存款利率(税后)*5%,沪深300指数收益率,95%,同期银行活期存款利率(税后),5%,nan,,nan,,nan,
340,000513.OF,富国高端制造行业,股票型基金,普通股票型基金,中证800指数收益率*80%+中债综合指数收益率*20%,中证800指数收益率,80%,中债综合指数收益率,20%,nan,,nan,,nan,
347,000524.OF,上投摩根民生需求,股票型基金,普通股票型基金,沪深300指数收益率*85%+中债总指数收益率*15%,沪深300指数收益率,85%,中债总指数收益率,15%,nan,,nan,,nan,
369,000549.OF,华安大国新经济,股票型基金,普通股票型基金,中证800指数收益率*90%+中国债券总指数收益率*10%,中证800指数收益率,90%,中国债券总指数收益率,10%,nan,,nan,,nan,
391,000577.OF,安信价值精选,股票型基金,普通股票型基金,沪深300指数收益率*80%+中债总指数收益率*20%,沪深300指数收益率,80%,中债总指数收益率,20%,nan,,nan,,nan,
399,000586.OF,景顺长城中小板创业板,股票型基金,普通股票型基金,创业板综合指数*45%+中小板综合指数*45%+中证全债指数*10%,创业板综合指数,45%,中小板综合指数,45%,中证全债指数,10%,nan,,nan,
405,000592.OF,建信改革红利,股票型基金,普通股票型基金,沪深300指数收益率*85%+中债总财富(总值)指数收益率*15%,沪深300指数收益率,85%,中债总财富(总值)指数收益率,15%,nan,,nan,,nan,
407,000594.OF,大摩进取优选,股票型基金,普通股票型基金,沪深300指数收益率*85%+标普中国债券指数收益率*15%,沪深300指数收益率,85%,标普中国债券指数收益率,15%,nan,,nan,,nan,
409,000596.OF,前海开源中证军工A,股票型基金,被动指数型基金,中证军工指数收益率*95%+银行活期存款利率(税后)*5%,中证军工指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
423,000613.OF,国寿安保沪深300ETF联接,股票型基金,被动指数型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
433,000628.OF,大成高新技术产业A,股票型基金,普通股票型基金,中证700指数收益率*80%+中证综合债指数收益率*20%,中证700指数收益率,80%,中证综合债指数收益率,20%,nan,,nan,,nan,
452,000656.OF,前海开源沪深300,股票型基金,被动指数型基金,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,沪深300指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
477,000688.OF,景顺长城研究精选,股票型基金,普通股票型基金,沪深300指数*90%+中证全债指数*10%,沪深300指数,90%,中证全债指数,10%,nan,,nan,,nan,
483,000696.OF,汇添富环保行业,股票型基金,普通股票型基金,中证环保产业指数收益率*80%+中证全债指数收益率*20%,中证环保产业指数收益率,80%,中证全债指数收益率,20%,nan,,nan,,nan,
484,000697.OF,汇添富移动互联,股票型基金,普通股票型基金,中证移动互联网指数*80%+中债综合指数*20%,中证移动互联网指数,80%,中债综合指数,20%,nan,,nan,,nan,
496,000711.OF,嘉实医疗保健,股票型基金,普通股票型基金,中证医药卫生指数收益率*95%+中国债券总指数收益率*5%,中证医药卫生指数收益率,95%,中国债券总指数收益率,5%,nan,,nan,,nan,
