,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,沪深300指数收益率,253,0.11869565217391305
1,银行活期存款利率(税后),227,0.06277533039647577
2,一年期定期存款利率(税后),199,0.18879781420765027
3,1年期定期存款利率(税后),193,0.10051813471502592
4,中债综合财富(总值)指数收益率,147,0.8867346938775512
5,中债总财富(1-3年)指数收益率,116,0.8116379310344829
6,中债综合全价指数收益率,87,0.8689655172413797
7,中债综合指数收益率,81,0.837037037037037
8,固定利率1.5%,78,1
9,中债综合全价(总值)指数收益率,63,0.8738095238095238
10,中债综合指数(总财富)收益率,62,0.896774193548387
11,固定利率1%,56,1
12,固定利率0.5%,52,1
13,固定利率1.2%,47,1
14,一年期银行定期存款收益率(税后),43,0.19999999999999998
15,中债-1-3年国开行债券指数收益率,37,0.9500000000000002
16,中证全债指数收益率,30,0.8983333333333333
17,该封闭期起始日公布的三年期定期存款利率(税后),26,0
18,银行一年期定期存款利率(税后),25,0.13630000000000003
19,银行人民币活期存款利率(税后),25,0.05600000000000001
20,固定利率1.25%,24,1
21,中证综合债指数收益率,23,0.8869565217391304
22,中债综合财富(1年以下)指数收益率,22,0.8000000000000003
23,中债综合财富(1-3年)指数收益率,22,0.8136363636363637
24,中国债券总指数收益率,21,0.895238095238095
25,同期银行活期存款利率(税后),20,0.06000000000000001
26,中债1-3年政策性金融债指数收益率,19,0.9499999999999998
27,中债-1-3年农发行债券指数收益率,17,0.95
28,金融机构人民币活期存款利率(税后),17,0.05
29,三年期定期存款利率(税后),17,0
30,中债新综合财富(1-3年)指数收益率,17,0.7647058823529411
31,三年期银行定期存款利率(税后),17,0
32,中债-3-5年国开行债券指数收益率,16,0.95
33,中债企业债总全价指数收益率,15,0.7133333333333332
34,中债总指数(全价)收益率,15,0.8133333333333336
35,中证可转换债券指数收益率,15,0.5100000000000001
36,沪深300指数,15,0.11333333333333337
37,中债综合(全价)指数收益率,14,0.8214285714285717
38,1年期银行定期存款利率(税后),14,0.18333333333333338
39,中债国债总全价指数收益率,14,0.2785714285714286
40,银行1年期定期存款利率(税后),12,0.11666666666666668
41,该封闭期起始日公布的三年定期存款利率(税后),12,0
42,固定利率1.00%,11,1
43,固定利率1.0%,11,1
44,中债-1-3年政策性金融债指数收益率,10,0
45,活期存款利率(税后),10,0
46,中债-3-5年政策性金融债指数收益率,10,0
47,一年期定存利率(税后),10,0
48,中债总全价指数收益率,10,0
49,一年期银行定期存款利率(税后),9,0
50,金融机构人民币活期存款基准利率(税后),9,0
51,三年定期存款利率(税后),9,0
52,该封闭期起始日的中国人民银行公布并执行的金融机构三年期定期存款利率(税后),9,0
53,中债新综合财富(总值)指数收益率,9,0
54,三年期定期存款利率,8,0
55,中债-1-5年国开行债券指数收益率,8,0
56,同期中国人民银行公布的一年期定期存款基准利率(税后),8,0
57,中债新综合指数(全价)收益率,8,0
58,中证全债指数,8,0
59,中债1-3年国开行债券指数收益率,8,0
60,中债总指数收益率,8,0
61,每个封闭期起始日的中国人民银行公布并执行的金融机构三年期定期存款利率(税后),7,0
62,中证红利指数收益率,7,0
63,中债综合财富指数收益率,7,0
64,一年期定期存款收益率(税后),7,0
65,中债综合指数,7,0
66,中债信用债总财富指数收益率,7,0
67,中债3-5年国开行债券指数收益率,6,0
68,中债-7-10年国开行债券指数收益率,6,0
69,中债-1-5年政策性金融债指数收益率,6,0
70,该封闭期起始日的中国人民银行公布并执行的三年期银行定期存款利率(税后),6,0
71,同期三年期银行定期存款基准利率(税后),6,0
72,中债国债总指数收益率,6,0
73,中证综合债券指数收益率,6,0
74,中债企业债总指数收益率,6,0
75,上证国债指数收益率,6,0
76,固定利率2%,5,1
77,同期2年期银行定期存款利率(税后)],5,0
78,[同期1年期银行定期存款利率(税后),5,0
79,固定利率0.35%,5,1
80,中国债券总指数(全价)收益率,5,0
81,中债国开行债券(1~3年)总财富指数收益率,5,0
82,封闭期起始日公布的三年期定期存款利率(税后),5,0
83,中债信用债(财富)总指数收益率,5,0
84,中债信用债总财富(总值)指数收益率,5,0
85,同业存款利率,5,0
86,1年定期存款收益率(税后),5,0
87,天相可转债指数收益率,5,0
88,中债-综合财富(1年以下)指数收益率,5,0
89,中债新综合财富指数收益率,4,0
90,中债企业债总指数,4,0
91,上证红利指数收益率,4,0
92,两年期定期存款利率(税后),4,0
93,二年期银行定期存款收益率(税后),4,0
94,人民币活期存款收益率(税后),4,0
95,三年期银行定期存款收益率(税后),4,0
96,一年期银行定期整存整取存款利率(税后),4,0
97,每个封闭期起始日中国人民银行公布并执行的金融机构三年期定期存款利率(税后),4,0
98,中国债券综合全价指数收益率,4,0
99,中债高信用等级债券财富指数收益率,4,0
100,中债综合指数(全价)收益率,4,0
101,中证可转债及可交换债券指数收益率,4,0
102,中债国债总指数,4,0
103,中证800指数,4,0
104,固定利率0.50%,4,1
105,银行一年期定期存款(税后)利率,4,0
106,中债-0-2年国开行债券指数收益率,4,0
107,人民币活期存款利率(税后),4,0
108,中国人民银行公布的1年期定期存款利率(税后),4,0
109,同期中国人民银行公布的一年期银行定期存款利率(税后),4,0
110,中国债券总指数(财富),4,0
111,金融机构三年期定期存款利率(税后),3,0
112,固定利率4%,3,1
113,中证500指数收益率,3,0
114,封闭期起始日公布的三年定期存款利率(税后),3,0
115,中证政策性金融债1-3年指数收益率,3,0
116,固定利率1.50%,3,1
117,封闭期起始日公布的2年期定期存款利率(税后),3,0
118,固定利率1.8%,3,1
119,中债-1-3年久期央企20债券指数收益率,3,0
120,固定利率0.75%,3,1
121,中证800指数收益率,3,0
122,该封闭期起始日公布的一年期定期存款利率(税后),3,0
123,固定利率1.6%,3,1
124,中国人民银行公布的三年银行定期整存整取存款利率(税后),3,0
125,同期三年期银行定期存款利率(税后),3,0
126,中证国债指数收益率,3,0
127,固定利率2.0%,3,1
128,中国债券综合财富指数收益率,3,0
129,中国人民银行公布的银行三年期定期存款利率(税后),3,0
130,中债综合全价(总值)指数,3,0
131,中国债券综合指数收益率,3,0
132,同期一年银行定期存款利率(税后),3,0
133,固定利率0.60%,3,1
134,该封闭期起始日的中国人民银行公布并执行的金融机构两年期定期存款利率(税后),3,0
135,该封闭期起始日中国人民银行公布的三年定期存款基准利率(税后),3,0
136,中债1-5年国开行债券指数收益率,2,0
137,每个封闭期的业绩比较基准为该封闭期起始日的三年期定期存款利率(税后),2,0
138,中债-3-5年农发行债券指数收益率,2,0
139,银行三年期存款利率(税后),2,0
140,中证信用债指数收益率,2,0
141,中国人民银行公布的六个月银行定期整存整取存款利率(税后),2,0
142,固定利率1.1%,2,1
143,中债信用债总指数收益率,2,0
144,同期银行存款活期利率(税后),2,0
145,中证金边中期国债指数,2,0
146,中证可转换债券指数,2,0
147,同期银行人民币活期存款利率(税后),2,0
148,中证综合债券指数,2,0
149,同期中国人民银行公布的三年期定期存款利率(税后),2,0
150,中债-0-5年中高等级江苏省城投类债券指数收益率,2,0
151,每个封闭期同期12个月银行定期存款利率(税后),2,0
152,中债1-3年政策性金融债(全价)指数收益率,2,0
153,上海清算所0-4年央企80债券指数收益率,2,0
154,上证企业债指数,2,0
155,中债国开行债券总财富(1-3年)指数收益率,2,0
156,该封闭期起始日的三年期定存利率(税后),2,0
157,中债-广西壮族自治区公司信用类债券指数收益率,2,0
158,中国人民银行公布的一年期定期存款基准利率(税后),2,0
159,固定利率1.7%,2,1
160,中债高信用等级债券财富(1-3年)指数收益率,2,0
161,同期六个月银行定期存款利率(税后),2,0
162,中债新综合全价(1-3年)指数收益率,2,0
163,中债国债总全价(总值)指数收益率,2,0
164,中债3-5年农发行债券指数收益率,2,0
165,标普中国债券指数收益率,2,0
166,标普中国可转债指数收益率,2,0
167,中债信用债总财富(3-5年)指数收益率,2,0
168,6个月定期存款基准利率(税后),2,0
169,中债5-10年国开行债券指数收益率,2,0
170,固定利率0.25%,2,1
171,彭博巴克莱国开行债券1-5年指数收益率,2,0
172,中债新综合指数(财富)收益率,2,0
173,三年定期存款基准利率(税后),2,0
174,上海清算所中高等级短期融资券指数收益率,2,0
175,中债国开行债券指数收益率,2,0
176,银行一年期定存利率(税后),2,0
177,中证综合债指数,2,0
178,该封闭期起始日公布的六个月定期存款利率(税后),2,0
179,一年期人民币定期存款基准利率(税后),2,0
180,中债-信用债总指数收益率,2,0
181,中债-市场隐含评级AAA信用债(1-3年)指数收益率,2,0
182,同期一年期定期存款收益率(税后),2,0
183,中债1-5年进出口行债券指数收益率,2,0
184,封闭期起始日公布的三年期银行定期存款利率(税后),2,0
185,中债-5-10年农发行债券指数收益率,2,0
186,中债-安徽省公司信用类债券指数收益率,2,0
187,中债-1-5年进出口行债券指数收益率,2,0
188,固定利率0.10%,2,1
189,金融机构五年期定期存款利率(税后),2,0
190,中债-农发行债券总指数收益率,2,0
191,封闭期起始日的中国人民银行公布并执行的金融机构三年期定期存款利率(税后),2,0
192,彭博巴克莱国开行债券1-3年指数收益率,2,0
193,中债10年期国债指数收益率,2,0
194,同期中国人民银行公布的三年期银行定期存款利率(税后),2,0
195,中证短债指数收益率,2,0
196,固定利率1.4%,2,1
197,加权平均后的一年期银行定期存款利率(R)(税后),2,0
198,封闭期起始日中国人民银行公布的银行三年期定期存款利率(税后),2,0
199,中债-国债及政策性银行债指数收益率,2,0
200,固定利率0.20%,2,1
201,上证3-5年期中高评级可质押信用债指数收益率,2,0
202,中债新综合全价(总值)指数收益率,2,0
203,同期中国人民银行公布的三年期银行定期存款收益率(税后),2,0
204,固定利率1.3%,2,1
205,同期中国人民银行公布的两年期定期存款基准利率(税后),2,0
206,固定利率0.6%,2,1
207,中债-0-5年中高等级信用债收益平衡指数收益率,2,0
208,三年期定存利率(税后),2,0
209,彭博巴克莱政策性银行债券3-5年指数收益率,2,0
210,上海清算所3-5年中高等级优选信用债指数收益率,2,0
211,沪深300收益率,2,0
212,一年定期存款利率(税后),2,0
213,每个封闭期同期中国人民银行公布的三年期定期存款利率(税后),2,0
214,银行一年期定存款利率(税后),2,0
215,中债企业债总全价(总值)指数收益率,2,0
216,一年定期存款利率,2,0
217,五年期定期存款利率,2,0
218,中国债券综合指数(财富)增长率,2,0
219,中债中短期债券财富(1-3年)指数收益率,2,0
220,中债总全价(1-3年)指数收益率,2,0
221,封闭期起始日公布的一年期定期存款利率(税后),2,0
222,中债全债指数,2,0
223,中债信用债总全价(总值)指数收益率,2,0
224,该封闭期起始日公布的3年期定期存款利率(税后),2,0
225,同期二年期银行定期存款利率(税后),2,0
226,该封闭期起始日公布的两年期定期存款利率(税后),2,0
227,中债-总财富(1-3年)指数收益率,2,0
