,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,一年期银行定期存款利率(税后),4,1
1,黄金现货实盘合约AU99.99收益率,3,1
2,上海黄金交易所上海金集中定价合约(合约代码:SHAU)午盘基准价格收益率,3,1
3,1年期银行定期存款收益率(税后),2,1
4,三年期银行定期存款利率(税后),2,1
5,中国人民银行公布的同期一年期银行定期存款基准利率(税后),2,1
6,一年期定期存款基准利率(税后),2,1
7,中国人民银行公布的同期三年期定期存款基准利率(税后),2,1
8,一年期银行定期存款收益率(税后),2,1
9,一年期定期存款利率(税后),2,1
10,一年期金融机构人民币存款基准利率,2,1
11,大连商品交易所豆粕期货价格指数收益率,1,1
12,上海期货交易所有色金属期货价格指数收益率,1,1
13,上海黄金交易所黄金现货实盘合约Au99.99价格收益率,1,1
14,三个月银行定期存款收益率(税后),1,1
15,易盛郑商所能源化工指数A收益率,1,1
16,一年期银行定期存款收益率,1,1
17,国内黄金现货价格收益率,1,1
18,上海期货交易所白银期货主力合约收益率(扣除相关费用),1,1
19,上海黄金交易所挂盘交易的Au99.99合约,1,1
20,上海黄金交易所Au99.99现货实盘合约收盘价收益率,1,1
21,上海黄金交易所Au99.99现货实盘合约收益率,1,1
22,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价的收益率,1,1
23,上海黄金交易所Au99.99现货实盘合约收盘价,1,1
