,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,上证国债指数收益率,6,0
1,中证海外中国互联网指数收益率,6,0
2,摩根士丹利资本国际全球指数(MSCI All Country World Index)收益率,4,0
3,(美国10年期国债收益率,4,0
4,1.5%),4,0
5,人民币活期存款利率(税后),4,0
6,彭博巴克莱全球综合债券指数(未对冲)收益率,3,0
7,道琼斯互联网指数,3,0
8,中证信息指数收益率,3,0
9,中债总指数收益率,3,0
10,一年期人民币定期存款利率(税后) ,3,0
11,MSCI全球权益指数(未对冲)收益率,3,0
12,中证全指互联网软件与服务指数,3,0
13,中证医药卫生指数收益率,3,0
14,标普全球1200医疗保健指数( S&P Global 1200 Health Care Sector Index)收益率,3,0
15,一个月期伦敦同业拆借利率,3,0
16,中证海外中国互联网指数,3,0
17,富时中国A股全股指数收益率,2,0
18,恒生高股息率指数收益率(经汇率估值调整),2,0
19,标普全球1200医疗保健指数(使用估值汇率折算)收益率,2,0
20,彭博巴克莱全球综合债券指数收益率,2,0
21,恒生综合中型股指数收益率,2,0
22,富时中国(不含B股)全盘指数收益率,2,0
23,MSCI全球信息科技指数收益率,2,0
24,经人民币汇率调整的恒生指数收益率,2,0
25,中证海外(不含香港)内地股指数收益率,2,0
26,中证健康产业指数收益率,2,0
27,申万医药生物行业指数收益率,2,0
28,恒生指数收益率,2,0
29,境内银行活期存款利率(税后),2,0
30,明晟MSCI新兴市场指数收益率,2,0
31,明晟MSCI世界指数收益率,2,0
32,香港三个月期银行同业拆借利率,2,0
33,中债综合财富指数收益率,2,0
34,经人民币汇率调整的标普500指数收益率,2,0
35,中证红利指数收益率,2,0
36,中证海外中国内地企业互联互通医药卫生指数收益率,2,0
37,人民币同期活期存款利率,2,0
38,恒生综合小型股指数收益率,2,0
39,申银万国医药生物行业指数收益率,1,0
40,中证TMT产业主题指数收益率,1,0
41,中证互联网指数收益率,1,0
42,中证中美TMT指数收益率,1,0
43,恒生医疗保健行业指数收益率,1,0
44,中债综合全价指数收益率,1,0
