,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,沪深300指数收益率,66,0.23393939393939392
1,恒生指数收益率,34,0.05029411764705883
2,银行活期存款利率(税后),24,0.05000000000000001
3,中债综合财富(总值)指数收益率,23,0.602173913043478
4,金融机构人民币活期存款利率(税后),22,0.05000000000000002
5,金融机构人民币活期存款基准利率(税后),16,0.05
6,中证综合债券指数收益率,12,0.6833333333333332
7,恒生综合指数收益率,11,0.05
8,中国战略新兴产业成份指数收益率,10,0
9,中债综合指数收益率,10,0
10,恒生指数收益率(使用估值汇率折算),10,0
11,中债综合全价指数收益率,9,0
12,中证800指数收益率,9,0
13,中证可转换债券指数收益率,8,0
14,中证港股通综合指数(人民币)收益率,8,0
15,中国债券总指数收益率,7,0
16,中债新综合全价(总值)指数收益率,6,0
17,一年期人民币定期存款基准利率(税后),6,0
18,中证内地消费主题指数收益率,6,0
19,中债新综合指数收益率,6,0
20,中债新综合全价指数收益率,4,0
21,中证港股通综合指数收益率,4,0
22,中证全债指数收益率,4,0
23,恒生综合指数收益率(使用估值汇率调整),3,0
24,中债综合(全价)指数收益率,3,0
25,中证主要消费行业指数收益率,3,0
26,中证500指数收益率,3,0
27,中证可选消费指数收益率,3,0
28,中证消费服务领先指数收益率,3,0
29,中证可选消费行业指数收益率,3,0
30,中证主要消费指数收益率,3,0
31,商业银行活期存款利率,2,0
32,中证港股通综合指数(CNY)收益率,2,0
33,中债总指数收益率,2,0
34,恒生综合指数收益率(经汇率调整后),2,0
35,中证高股息精选指数收益率,2,0
36,恒生高股息率指数收益率,2,0
37,中证普通债券型基金指数收益率,2,0
38,中证香港上市可交易内地金融指数收益率,2,0
39,中证债券型基金指数收益率,2,0
40,中债-综合全价(总值)指数收益率,2,0
41,中债信用债总指数收益率,2,0
42,中债综合全价指数收益,2,0
43,中债总全价指数收益率,2,0
44,创业板指数收益率,2,0
45,中证新型基础设施建设主题指数收益率,2,0
46,中证香港100指数收益率,2,0
47,中证基建工程指数收益率,2,0
48,恒生指数收益率(使用估值汇率调整),2,0
49,中债综合指数(总财富)收益率,2,0
50,中证香港上市可交易内地地产指数收益率,2,0
51,中证货币型基金指数收益率,2,0
52,恒生中国企业指数收益率,2,0
53,中证偏股型基金指数收益率,2,0
54,中证健康产业指数收益率,2,0
55,1年期定期存款利率(税后),2,0
56,恒生指数收益率(经汇率估值调整),2,0
57,沪深300金融地产行业指数收益率,2,0
58,中证股票型基金指数收益率,2,0
59,上海黄金交易所AU99.99收益率,2,0
60,中证医药卫生指数收益率,2,0
61,中证互联网指数收益率,2,0
62,中证中游制造产业指数收益率,2,0
63,申银万国消费品指数收益率,1,0
64,1年期定期存款收益率(税后),1,0
65,中证沪深港1100TMT指数收益率,1,0
66,中证港股通综合指数,1,0
67,中证新兴产业指数收益率,1,0
68,中证TMT产业主题指数收益率,1,0
69,中证品牌消费100策略指数收益率,1,0
70,恒生指数(人民币计价)收益率,1,0
71,中证港股通大消费主题指数收益率,1,0
72,中证先进制造100策略指数收益率,1,0
73,恒生消费品制造及服务业指数收益率(经汇率调整),1,0
74,天相280指数收益率,1,0
75,金融同业存款利率,1,0
76,天相转债指数收益率,1,0
77,天相国债全价指数收益率,1,0
78,中证资源优选指数收益率,1,0
79,中债综合全价(总值)指数收益率,1,0
