,业绩比较基准,基准对应的基金数目,基金对应平均比例
0,沪深300指数收益率,61,0.5885245901639343
1,恒生指数收益率,38,0.21216216216216213
2,中证全债指数收益率,27,0.14814814814814814
3,中债综合指数收益率,26,0.1596153846153846
4,中证港股通综合指数收益率,20,0.15500000000000003
5,中证800指数收益率,19,0.7263157894736841
6,中债总指数收益率,18,0.1527777777777778
7,中证综合债券指数收益率,17,0.1647058823529412
8,恒生综合指数收益率,17,0.1911764705882353
9,中证医药卫生指数收益率,17,0.6764705882352942
10,中证内地消费主题指数收益率,16,0.646875
11,中证港股通综合指数(人民币)收益率,16,0.1375
12,银行活期存款利率(税后),13,0.09230769230769233
13,上证国债指数收益率,13,0.15384615384615385
14,中债综合财富(总值)指数收益率,12,0.15833333333333335
15,恒生指数收益率(使用估值汇率折算),12,0.16250000000000003
16,中证综合债指数收益率,11,0.15
17,中债综合财富指数收益率,11,0.12727272727272732
18,人民币计价的恒生指数收益率,10,0
19,中债综合全价(总值)指数收益率,9,0
20,中债综合全价指数收益率,6,0
21,中证TMT产业主题指数收益率,6,0
22,中证新兴产业指数收益率,6,0
23,中证全指一级行业材料指数收益率,5,0
24,中证全指一级行业能源指数收益率,5,0
25,中证500指数收益率,5,0
26,中证新能源指数收益率,5,0
27,恒生指数收益率(经汇率调整),4,0
28,人民币活期存款利率(税后),4,0
29,活期存款利率,4,0
30,中国战略新兴产业成份指数收益率,4,0
31,中债总指数(全价)收益率,4,0
32,恒生医疗保健指数收益率,4,0
33,中证全指原材料指数收益率,4,0
34,商业银行活期存款利率(税后),4,0
35,中证港股通TMT主题指数收益率,3,0
36,中证高端装备制造指数收益率,3,0
37,申万医药生物行业指数收益率,3,0
38,恒生医疗保健指数收益率(经汇率调整),3,0
39,中证食品饮料指数收益率,3,0
40,中证港股通医药卫生综合指数收益率,3,0
41,MSCI中国A股指数收益率,3,0
42,商业银行人民币活期存款利率(税后),2,0
43,恒生综合指数收益率(使用估值汇率折算),2,0
44,大数据100指数,2,0
45,中证人工智能主题指数收益率,2,0
46,中证港股通主要消费综合指数(人民币)收益率,2,0
47,恒生金融行业指数收益率,2,0
48,中证港股通指数收益率,2,0
49,沪深300指数,2,0
50,中证消费服务领先指数收益率,2,0
51,同业存款利率(税后),2,0
52,中证全指可选消费指数收益率,2,0
53,中证全指一级行业金融指数收益率,2,0
54,中证全指主要消费指数,2,0
55,恒生综合指数收益率(经汇率调整后),2,0
56,中证红利指数收益率,2,0
57,人民币计价的恒生综合指数收益率,2,0
58,中证全指电信业务指数收益率,2,0
59,中证全指可选消费指数,2,0
60,中证360互联网,2,0
61,中证健康产业指数收益率,2,0
62,中证中财沪深100ESG领先指数收益率,2,0
63,中证700指数收益率,2,0
64,中国债券综合全价指数收益率,2,0
65,中债综合(全价)指数收益率,2,0
66,中证全指指数收益率,2,0
67,中证全债指数,2,0
68,中证全指能源指数收益率,2,0
69,恒生必需性消费业指数收益率(经汇率调整),2,0
70,中证港股通主要消费综合指数收益率,2,0
71,中证香港100指数收益率,2,0
72,恒生能源行业指数收益率,2,0
73,中证全指信息技术指数收益率,2,0
74,中证全指主要消费指数收益率,2,0
75,恒生港股通指数收益率(使用估值汇率折算),1,0
76,创业板综合指数,1,0
77,恒生高股息率指数收益率,1,0
78,恒生指数,1,0
79,中证香港300消费指数收益率,1,0
80,中信港股通汽车指数收益率,1,0
81,中证国债指数,1,0
82,恒生指数收益率(经人民币汇率折算),1,0
83,MSCI中国A股在岸指数收益率,1,0
84,中小板综合指数,1,0
85,恒生医疗保健行业指数收益率,1,0
86,中证环保产业指数收益率,1,0
87,中证TMT150指数收益率,1,0
88,同业存款利率,1,0
89,中债综合指数,1,0
90,中证可选消费行业指数,1,0
91,经汇率调整的恒生指数收益率,1,0
92,恒生能源行业指数,1,0
93,中证主要消费行业指数,1,0
94,恒生必需性消费业指数收益率(按估值汇率调整),1,0
95,中证港股通大消费主题指数收益率(使用估值汇率调整),1,0
96,中证高股息精选指数收益率,1,0
97,中证香港300金融服务指数收益率,1,0
98,中债新综合全价(总值)指数收益率,1,0
99,中证内地金融主题指数收益率,1,0
100,中证500成长指数收益率,1,0
101,恒生互联网科技业指数收益率,1,0
102,中证港股通大消费主题指数收益率,1,0
103,中信汽车指数收益率,1,0
104,申银万国医药生物行业指数收益率,1,0
